field	SVDF_value
sensors_outside_temperature	27
sensors_front_left_brake_temp	125
sensors_front_right_brake_temp	126
sensors_rear_left_brake_temp	127
sensors_rear_right_brake_temp	128
bms_battery_voltage	28
bms_battery_current	29
bms_charge_status	30
bms_ideal_energy_remaining	31
bms_max_regen_power	32
bms_max_discharge_power	33
bms_nominal_full_pack_new	34
bms_nominal_full_pack_now	35
bms_nominal_remaining	36
bms_energy_buffer	37
bms_temp_pt_inlet	38
bms_temp_battery_inlet	39
bms_temp_inlet_target	40
bms_cell_max_temp	41
bms_cell_min_temp	42
bms_cell_max_voltage	43
bms_cell_min_voltage	44
bms_ac_charge_total	45
bms_dc_charge_total	46
bms_regen_total	47
bms_discharge_total	48
bms_battery_heating_state	49
drivetrain_front_torque	50
drivetrain_front_power	51
drivetrain_rear_torque	52
drivetrain_rear_power	53
drivetrain_rear_right_torque	54
drivetrain_rear_right_power	55
drivetrain_track_mode_stability	56
drivetrain_track_mode_handling	57
drivetrain_temp_front_stator	58
drivetrain_temp_rear_stator	59
drivetrain_inverters_count	60
drivetrain_ride_and_handling	124
driving_state_speed	61
driving_state_accel_pedal_pos	62
driving_state_turn_signal_left	63
driving_state_turn_signal_right	64
driving_state_brake_pressed	65
driving_state_gear	66
driving_state_regen_level	67
driving_state_drift_mode_state	68
driving_state_track_mode_state	69
driving_state_acceleration_mode	70
driving_state_motor_on_mode_state	71
driving_state_traction_control	72
driving_state_stopping_mode	73
driving_state_wiper_speed	74
charging_dc_current	75
charging_dc_voltage	76
charging_low_bus_voltage	77
charging_low_bus_current	78
charging_high_bus_voltage	79

Status: strong DWARF semantic-field evidence; these values are internal semantic identifiers, not CAN arbitration IDs.
